"","Year","YS","YSP","Site","Point","Num_Trees","Dom_spp","Mean_DBH","Median_DBH","Max_DBH","Spp_maxDBH","Mean_decay","Num_live","Num_snags","Median_health","Num_2BI_Pl","Num_2BI_FD","Num_2BI_Sx","Perc_At","eff_HY","dist_to_cut","edge_near","cut","Spp","N_flg","NEST","type"
"8988",1999,"1999_SC","1999_SC_7103","SC","7103",12,"AT",36.95,43.25,56.1,"AT",2.333333333,8,4,"BI",0,0,0,1,1988,556.516863494596,17,0,"RNSA","U","99067_1999","selected"
"8989",1999,"1999_SHCC","1999_SHCC_7741","SHCC","7741",6,"AT",33.85,36.55,44.4,"AT",1.666666667,6,0,"FS",0,0,0,1,1988,556.516863494596,17,0,"RNSA","U","99067_1999","selected"
"8990",1999,"1999_SC","1999_SC_7176","SC","7176",10,"AT",28.23,29.8,31.7,"AT",3.2,4,6,"BI",0,0,0,1,1988,1224.22828430938,6,0,"TRES","U","99068_1999","selected"
"8991",1999,"1999_MLF","1999_MLF_7063","MLF","7063",20,"AT",24.64,24.7,39,"PL",1.4,19,1,"HE",2,0,0,0.55,1988,2524.88163834269,20,0,"RBNU","4","99069_1999","selected"
"8992",1999,"1999_SC","1999_SC_7318","SC","7318",4,"AT",47.35,47.4,52.2,"AT",3.25,0,4,"BI",0,0,0,1,1988,1173.64031587125,10,0,"EUST","U","99070_1999","selected"
"8993",1999,"1999_TO","1999_TO_7403","TO","7403",29,"AT",29.99310345,29.8,41,"FD",1.793103448,22,7,"HE",0,1,0,0.862068966,1985,2055.42312461927,2055.42312461927,0,"RNSA","U","99071_1999","selected"
"8994",1999,"1999_MM","1999_MM_7750","MM","7750",20,"AT",25.45,23.85,55.4,"PL",1.5,19,1,"HE",0,0,0,0.55,1985,2055.42312461927,2055.42312461927,0,"RNSA","U","99071_1999","selected"
"8995",1999,"1999_SC","1999_SC_7274","SC","7274",2,"AT",47.4,47.4,48.5,"AT",3.5,0,2,"BI",0,0,0,1,1988,1165.575248292,0,0,"EUST","U","99072_1999","selected"
"8996",1999,"1999_SC","1999_SC_70009","SC","70009",7,"PL",34.94285714,34.7,45.7,"PL",1.714285714,7,0,"BI",5,0,0,0,1988,1214.1135464072,0,0,"MOBL","U","99074_1999","selected"
"8997",1999,"1999_SC","1999_SC_7114","SC","7114",13,"PL",25.40769231,23.4,46.8,"AT",1.923076923,9,4,"HE",1,0,0,0.461538462,1988,1108.0338855089,12,0,"NOFL","6","99076_1999","selected"
"8998",1999,"1999_SW","1999_SW_7401","SW","7401",12,"AT",20.95833333,21.65,30.2,"AT",1.916666667,9,3,"FS",1,0,0,0.666666667,1986,2997.48757823861,20,0,"MOCH","U","99077_1999","selected"
"8999",1999,"1999_SC","1999_SC_7349","SC","7349",5,"AT",36.16,38,45.1,"AT",2.4,3,2,"BI",0,0,0,1,1988,1063.1780899443,0,0,"EUST","U","99078_1999","selected"
"9000",1999,"1999_MG","1999_MG_7408","MG","7408",26,"AT",21.99230769,22.65,30.2,"AT",1.884615385,22,4,"HE",1,0,0,0.923076923,1985,1258.4790731348,5,0,"HAWO","U","99079_1999","selected"
"9001",1999,"1999_RP","1999_RP_7278","RP","7278",16,"AT",16.1875,14.2,31.7,"AT",1.25,16,0,"HE",0,0,0,1,1988,912.187630703037,13,0,"MOCH","6","99080_1999","selected"
"9002",1999,"1999_MG","1999_MG_7658","MG","7658",22,"PL",24.86363636,23.8,40.1,"AT",1.272727273,21,1,"HE",0,0,0,0.227272727,1985,1275.57059269084,5,0,"RNSA","U","99081_1999","selected"
"9003",1999,"1999_RC","1999_RC_7040","RC","7040",23,"AT",23.89130435,24.5,40,"PL",1.47826087,19,4,"HE",1,0,0,0.52173913,1987,1545.04724610099,32,0,"BUFF","U","99082_1999","selected"
"9004",1999,"1999_RCOFF","1999_RCOFF_7639","RCOFF","7639",6,"AT",29.35,28,41.5,"AT",2,6,0,"BI",0,0,0,1,1987,1817.75137725782,40,0,"MOBL","U","99084_1999","selected"
"9005",1999,"1999_RC","1999_RC_7421","RC","7421",24,"PL",20.61666667,16.1,57.3,"AT",1.166666667,24,0,"HE",2,0,0,0.461538462,1987,1849.72034759647,7,0,"NOFL","8","99085_1999","selected"
"9006",1999,"1999_RCOFF","1999_RCOFF_7419","RCOFF","7419",3,"AT",21.46666667,21.4,28.6,"AT",2.333333333,2,1,"BI",0,0,0,0.666666667,1987,1862.97477562105,20,0,"EUST","U","99086_1999","selected"
"9007",1999,"1999_RC","1999_RC_7045","RC","7045",39,"AT",21.82820513,21.8,35,"AT",1.333333333,36,3,"HE",2,0,0,0.625,1987,1853.01397906053,16,0,"MOCH","U","99087_1999","selected"
"9008",1999,"1999_RCOFF","1999_RCOFF_7418","RCOFF","7418",4,"AT",21.275,21.05,28.6,"AT",2.25,3,1,"BI",0,0,0,0.75,1987,1859.3024529246,21,0,"TRES","U","99088_1999","selected"
"9009",1999,"1999_SD","1999_SD_7668","SD","7668",39,"AT",19.44358974,18.9,33.9,"FD",2.153846154,25,14,"BI",0,0,0,0.948717949,1985,735.879081249451,55,0,"RBNU","U","99089_1999","selected"
"9010",1999,"1999_SD","1999_SD_7747","SD","7747",18,"AT",35.50555556,39.05,47.4,"AT",1.666666667,16,2,"HE",0,0,0,0.555555556,1985,558.767707737241,558.767707737241,0,"NOFL","U","99090_1999","selected"
"9011",1999,"1999_SC","1999_SC_7178","SC","7178",10,"AT",33.75,30,65.2,"FD",2.3,6,4,"BI",1,0,0,0.8,1988,2296.75421901025,20,0,"EUST","U","99091_1999","selected"
"9012",1999,"1999_SD","1999_SD_7120","SD","7120",31,"AT",20.17419355,19.5,41.9,"AT",1.838709677,26,5,"BI",1,0,0,0.935483871,1985,454.328610930552,10,0,"EUST","U","99092_1999","selected"
"9013",1999,"1999_SC","1999_SC_7084","SC","7084",7,"AT",26.87142857,25.6,33.5,"AT",2.571428571,4,3,"BI",0,0,0,0.857142857,1988,2325.3483107408,5,0,"NOFL","3","99093_1999","selected"
"9014",1999,"1999_SD","1999_SD_7162","SD","7162",6,"AT",32.6,30.35,40.5,"AT",1.833333333,6,0,"BI",0,0,0,1,1985,495.212782630187,0,0,"EUST","U","99094_1999","selected"
"9015",1999,"1999_OFF","1999_OFF_7686","OFF","7686",13,"AT",24.71538462,22.5,37.6,"PL",2,11,2,"BI",2,0,0,0.846153846,1985,2473.76214325063,2473.76214325063,0,"NSWO","U","99095_1999","selected"
"9016",1999,"1999_SP","1999_SP_7665","SP","7665",20,"AT",20.74,19.85,31.5,"AT",2.8,9,11,"BI",0,0,0,0.9,1991,233.900134863776,233.900134863776,0,"RBNU","U","99096_1999","selected"
"9017",1999,"1999_SC","1999_SC_7103","SC","7103",12,"AT",36.95,43.25,56.1,"AT",2.333333333,8,4,"BI",0,0,0,1,1988,556.516863494596,17,0,"NOFL","8","99097_1999","selected"
"9018",1999,"1999_CH98","1999_CH98_7411","CH98","7411",38,"PL",22.51315789,22.2,36.9,"PL",1.421052632,33,5,"HE",1,0,0,0.342105263,1985,1573.75473540364,10,0,"MOBL","U","99098_1999","selected"
"9019",1999,"1999_CH98","1999_CH98_7612","CH98","7612",40,"AT",21.7175,20.85,34.4,"PL",1.875,28,12,"HE",0,0,0,0.675,1985,1575.04829600385,12,0,"TRES","U","99099_1999","selected"
"9020",1999,"1999_RCOFF","1999_RCOFF_7415","RCOFF","7415",3,"AT",34.9,35.5,37.2,"AT",2.333333333,2,1,"FS",0,0,0,1,1987,1834.02303449986,19,0,"RNSA","U","99100_1999","selected"
"9021",1999,"1999_SC","1999_SC_7662","SC","7662",8,"AT",21.4375,22.6,30.3,"AT",2.375,4,4,"HE",0,0,0,1,1988,1670.28397959936,13,0,"EUST","U","99101_1999","selected"
"9022",1999,"1999_SC","1999_SC_7100","SC","7100",2,"AT",34.4,34.4,34.8,"AT",3.5,0,2,"BI",0,0,0,1,1988,1025.82558101363,5,0,"EUST","U","99102_1999","selected"
"9023",1999,"1999_SD","1999_SD_7286","SD","7286",40,"AT",22.05,22.2,34,"AT",2.675,16,24,"BI",0,0,0,1,1985,278.920885050424,28,0,"RBNU","U","99103_1999","selected"
"9024",1999,"1999_SC","1999_SC_7682","SC","7682",6,"AT",34.01666667,35.75,41.8,"AT",1.833333333,6,0,"BI",0,0,0,1,1988,2366.68132119465,0,0,"EUST","U","99104_1999","selected"
"9025",1999,"1999_SC","1999_SC_7105","SC","7105",11,"AT",23.16363636,24.5,30.6,"AT",3.181818182,4,7,"BI",0,0,0,1,1988,528.109976392469,7,0,"MOBL","U","99105_1999","selected"
"9026",1999,"1999_CH98","1999_CH98_7413","CH98","7413",39,"AT",24.12307692,21.2,46.6,"PL",1.769230769,29,10,"HE",2,0,0,0.56097561,1985,1518.05824867151,12,0,"EUST","U","99106_1999","selected"
"9027",1999,"1999_YYOFF","1999_YYOFF_7626","YYOFF","7626",27,"PL",22.19259259,21.2,41.4,"AT",1.666666667,19,8,"HE",1,0,0,0.25,1985,1247.43436807016,20,0,"EUST","4","99108_1999","selected"
"9028",1999,"1999_MG","1999_MG_7406","MG","7406",31,"AT",19.00645161,19.8,24.3,"AT",1.612903226,27,4,"HE",1,0,0,0.84375,1985,1276.99452401085,40,0,"MOCH","U","99109_1999","selected"
"9029",1999,"1999_SD","1999_SD_7667","SD","7667",31,"AT",19.22580645,19,27,"AT",1.709677419,27,4,"HE",0,0,0,0.9375,1985,766.762203023254,45,0,"MOCH","U","99110_1999","selected"
